order_id,product_id,quantity,discount,sales_amount,cost_amount,profit_amount
ORD017504,PRD00441,1,0.0,1184.75,805.63,379.12
ORD046116,PRD00244,1,0.15,10955.32,8764.25,2191.07
ORD059784,PRD00278,3,0.0,1763.25,1199.01,564.24
ORD011462,PRD00449,1,0.0,168.57,114.63,53.94
ORD050030,PRD00265,1,0.0,595.62,405.02,190.6
ORD039611,PRD00278,2,0.2,940.4,799.34,141.06
ORD057352,PRD00274,1,0.0,240.71,163.68,77.03
ORD055900,PRD00329,1,0.1,993.4,750.57,242.83
ORD040638,PRD00155,5,0.15,8566.689999999999,16848.22,-8281.53
ORD023240,PRD00128,1,0.0,3402.59,2313.76,1088.83
ORD029725,PRD00153,1,0.0,4076.16,2771.79,1304.37
ORD022518,PRD00266,1,0.0,356.41,242.36,114.05
ORD025316,PRD00105,2,0.0,5471.34,3720.51,1750.83
ORD031632,PRD00099,3,0.0,8566.689999999999,9880.21,-1313.52
ORD044183,PRD00479,1,0.0,667.9,454.17,213.73
ORD040755,PRD00101,3,0.0,5366.55,3649.25,1717.3
ORD056083,PRD00311,5,0.3,1497.72,1454.93,42.79
ORD033595,PRD00350,2,0.3,618.41,600.74,17.67
ORD040885,PRD00154,1,0.0,2289.74,1557.02,732.72
ORD028856,PRD00378,1,0.0,2753.44,1872.34,881.1
ORD026057,PRD00330,2,0.15,941.6,753.28,188.32
ORD036691,PRD00296,1,0.0,439.33,298.74,140.59
ORD039362,PRD00221,1,0.0,10205.78,6939.93,3265.85
ORD012895,PRD00190,1,0.0,17445.89,11863.21,5582.68
ORD052202,PRD00045,1,0.0,25338.41,17230.12,8108.29
ORD019133,PRD00496,1,0.0,2420.37,1645.85,774.52
ORD013720,PRD00101,1,0.15,1520.52,1216.42,304.1
ORD006436,PRD00048,1,0.0,75974.85,51662.9,24311.95
ORD023183,PRD00477,2,0.05,1879.54,1345.35,534.19
ORD046787,PRD00474,1,0.05,1492.32,1068.18,424.14
ORD008386,PRD00447,1,0.0,1851.01,1258.69,592.32
ORD044935,PRD00403,1,0.1,7996.78,6042.01,1954.77
ORD000477,PRD00276,1,0.15,132.18,105.75,26.43
ORD007380,PRD00477,1,0.3,692.46,672.68,19.78
ORD007111,PRD00030,1,0.0,2181.72,1483.57,698.15
ORD031555,PRD00494,2,0.0,2697.8,1834.5,863.3
ORD040044,PRD00050,1,0.0,10243.47,6965.56,3277.91
ORD044997,PRD00017,1,0.1,10125.3,7650.22,2475.08
ORD047576,PRD00215,1,0.15,20281.36,16225.09,4056.27
